Accident_Date,Time__24hr,Year,Month,MonthName,Day_of_Week,Is_Holiday,DateID
2019-06-21,17:04:00,2019,6,June,Friday,False,109
2019-06-24,22:48:00,2019,6,June,Monday,False,110
2019-06-25,23:18:00,2019,6,June,Tuesday,False,111
2019-06-30,15:14:00,2019,6,June,Sunday,False,112
2019-07-02,09:03:00,2019,7,July,Tuesday,False,113
2019-07-02,18:57:00,2019,7,July,Tuesday,False,114
2019-07-05,08:36:00,2019,7,July,Friday,False,115
2019-07-06,21:03:00,2019,7,July,Saturday,False,116
2019-07-08,20:27:00,2019,7,July,Monday,False,117
2019-07-09,13:18:00,2019,7,July,Tuesday,False,118
2019-07-11,15:13:00,2019,7,July,Thursday,False,119
2019-07-11,16:22:00,2019,7,July,Thursday,False,120
2019-07-11,19:04:00,2019,7,July,Thursday,False,121
2019-07-12,04:05:00,2019,7,July,Friday,False,122
2019-07-12,19:02:00,2019,7,July,Friday,False,123
2019-07-13,13:25:00,2019,7,July,Saturday,False,124
2019-07-13,16:38:00,2019,7,July,Saturday,False,125
2019-07-13,18:35:00,2019,7,July,Saturday,False,126
2019-07-14,15:03:00,2019,7,July,Sunday,False,127
2019-07-14,19:24:00,2019,7,July,Sunday,False,128
2019-07-16,06:54:00,2019,7,July,Tuesday,False,129
2019-07-16,23:36:00,2019,7,July,Tuesday,False,130
2019-07-18,17:48:00,2019,7,July,Thursday,False,131
2019-07-19,08:55:00,2019,7,July,Friday,False,132
2019-07-19,10:04:00,2019,7,July,Friday,False,133
2019-07-19,15:45:00,2019,7,July,Friday,False,134
2019-07-19,20:25:00,2019,7,July,Friday,False,135
2019-07-20,10:45:00,2019,7,July,Saturday,False,136
2019-07-19,22:45:00,2019,7,July,Friday,False,137
2019-07-21,15:59:00,2019,7,July,Sunday,False,138
2019-07-23,17:05:00,2019,7,July,Tuesday,False,139
2019-07-24,07:37:00,2019,7,July,Wednesday,False,140
2019-07-24,11:07:00,2019,7,July,Wednesday,False,141
2019-07-25,19:45:00,2019,7,July,Thursday,False,142
2019-07-27,14:02:00,2019,7,July,Saturday,False,143
2019-07-27,20:55:00,2019,7,July,Saturday,False,144
2019-07-27,22:01:00,2019,7,July,Saturday,False,145
2019-07-30,23:24:00,2019,7,July,Tuesday,False,146
2019-07-31,17:07:00,2019,7,July,Wednesday,False,147
2019-07-31,18:03:00,2019,7,July,Wednesday,False,148
2019-08-01,08:05:00,2019,8,August,Thursday,False,149
2019-08-01,16:07:00,2019,8,August,Thursday,False,150
2019-08-02,14:55:00,2019,8,August,Friday,False,151
2019-08-02,16:03:00,2019,8,August,Friday,False,152
2019-08-03,09:04:00,2019,8,August,Saturday,False,153
2019-08-04,15:03:00,2019,8,August,Sunday,False,154
2019-08-04,22:23:00,2019,8,August,Sunday,False,155
2019-08-05,11:33:00,2019,8,August,Monday,False,156
2019-08-08,14:36:00,2019,8,August,Thursday,False,157
2019-08-09,19:49:00,2019,8,August,Friday,False,158
2019-08-10,00:02:00,2019,8,August,Saturday,False,159
2019-08-14,12:05:00,2019,8,August,Wednesday,False,160
2019-08-14,13:23:00,2019,8,August,Wednesday,False,161
2019-08-15,18:03:00,2019,8,August,Thursday,False,162
2019-08-15,19:49:00,2019,8,August,Thursday,False,163
2019-08-19,14:04:00,2019,8,August,Monday,False,164
2019-08-19,17:55:00,2019,8,August,Monday,False,165
2019-08-20,15:46:00,2019,8,August,Tuesday,False,166
2019-08-23,20:27:00,2019,8,August,Friday,False,167
2019-08-23,22:46:00,2019,8,August,Friday,False,168
2019-08-24,14:22:00,2019,8,August,Saturday,False,169
2019-08-24,22:14:00,2019,8,August,Saturday,False,170
